ORDER_ID,AMOUNT,PROFIT,PROFITABLE_FLAG
B-25851,62,1,profitable
B-25851,135,54,profitable
B-25851,237,47,profitable
B-25852,320,144,profitable
B-25852,24,1,profitable
B-25852,45,12,profitable
B-25852,97,17,profitable
B-25852,50,16,profitable
B-25852,869,67,profitable
B-25852,105,33,profitable
B-25853,39,16,profitable
B-25853,30,14,profitable
B-25853,26,11,profitable
B-25853,19,6,profitable
B-25853,579,139,profitable
B-25853,2093,721,profitable
B-25853,95,11,profitable
B-25853,128,4,profitable
B-25853,199,48,profitable
B-25854,149,48,profitable
B-25854,436,131,profitable
B-25854,76,19,profitable
B-25854,88,16,profitable
B-25854,342,154,profitable
B-25854,40,16,profitable
B-25854,53,-2,not profitable
B-25854,381,144,profitable
B-25855,829,19,profitable
B-25855,442,31,profitable
B-25855,90,17,profitable
B-25855,98,12,profitable
B-25855,61,30,profitable
B-25855,1027,441,profitable
B-25855,1319,567,profitable
B-25855,197,73,profitable
B-25855,550,242,profitable
B-25856,74,29,profitable
B-25856,10,2,profitable
B-25856,689,90,profitable
B-25856,257,3,profitable
B-25856,48,6,profitable
B-25857,324,39,profitable
B-25857,598,166,profitable
B-25857,227,59,profitable
B-25858,22,8,profitable
B-25858,29,11,profitable
B-25858,27,5,profitable
B-25858,82,13,profitable
B-25858,294,109,profitable
B-25858,16,0,profitable
B-25858,245,30,profitable
B-25858,223,27,profitable
B-25858,2457,665,profitable
B-25859,724,253,profitable
B-25860,112,24,profitable
B-25861,128,4,profitable
B-25861,50,3,profitable
B-25861,62,6,profitable
B-25861,44,14,profitable
B-25861,56,18,profitable
B-25861,216,-83,not profitable
B-25862,2061,701,profitable
B-25862,121,41,profitable
B-25862,80,3,profitable
B-25863,189,87,profitable
B-25864,100,6,profitable
B-25864,17,5,profitable
B-25864,22,8,profitable
B-25864,27,9,profitable
B-25865,85,-1,not profitable
B-25866,51,14,profitable
B-25867,31,14,profitable
B-25867,240,12,profitable
B-25867,163,26,profitable
B-25868,170,73,profitable
B-25868,62,-1,not profitable
B-25868,1118,206,profitable
B-25869,86,9,profitable
B-25870,10,4,profitable
B-25870,845,84,profitable
B-25870,57,7,profitable
B-25870,473,113,profitable
B-25871,118,25,profitable
B-25872,57,27,profitable
B-25873,66,12,profitable
B-25873,367,73,profitable
B-25873,7,1,profitable
B-25873,1275,357,profitable
B-25873,42,12,profitable
B-25874,124,54,profitable
B-25875,248,8,profitable
B-25876,282,14,profitable
B-25877,1137,568,profitable
B-25877,269,33,profitable
B-25877,24,8,profitable
B-25878,165,46,profitable
B-25878,46,0,profitable
B-25878,84,41,profitable
B-25878,140,15,profitable
B-25878,741,267,profitable
B-25878,719,303,profitable
B-25879,57,28,profitable
B-25880,108,37,profitable
B-25881,37,3,profitable
B-25881,26,9,profitable
B-25881,1351,111,profitable
B-25881,2244,247,profitable
B-25881,36,7,profitable
B-25881,2115,23,profitable
B-25882,121,19,profitable
B-25883,146,42,profitable
B-25883,105,26,profitable
B-25883,127,29,profitable
B-25883,16,-15,not profitable
B-25883,10,-2,not profitable
B-25884,24,2,profitable
B-25885,94,27,profitable
B-25885,394,146,profitable
B-25885,734,248,profitable
B-25885,349,0,profitable
B-25886,89,17,profitable
B-25886,502,84,profitable
B-25886,63,1,profitable
B-25886,107,37,profitable
B-25887,83,6,profitable
B-25887,2125,234,profitable
B-25888,18,2,profitable
B-25888,223,4,profitable
B-25888,646,213,profitable
B-25889,31,10,profitable
B-25889,119,43,profitable
B-25889,114,11,profitable
B-25890,465,207,profitable
B-25891,25,2,profitable
B-25891,97,36,profitable
B-25891,121,41,profitable
B-25892,139,30,profitable
B-25893,355,114,profitable
B-25893,61,11,profitable
B-25893,149,15,profitable
B-25893,688,103,profitable
B-25893,372,59,profitable
B-25893,223,62,profitable
B-25893,83,12,profitable
B-25894,1246,62,profitable
B-25895,388,93,profitable
B-25896,31,11,profitable
B-25896,42,7,profitable
B-25896,190,68,profitable
B-25896,103,36,profitable
B-25896,287,66,profitable
B-25896,23,4,profitable
B-25896,79,-2,not profitable
B-25897,43,5,profitable
B-25897,33,10,profitable
B-25897,24,11,profitable
B-25897,734,213,profitable
B-25898,33,13,profitable
B-25898,499,33,profitable
B-25898,147,73,profitable
B-25898,53,5,profitable
B-25898,171,2,profitable
B-25898,915,-99,not profitable
B-25898,191,93,profitable
B-25898,857,274,profitable
B-25899,22,9,profitable
B-25899,28,6,profitable
B-25899,43,17,profitable
B-25899,846,9,profitable
B-25900,15,2,profitable
B-25900,140,68,profitable
B-25900,210,62,profitable
B-25901,158,38,profitable
B-25901,90,27,profitable
B-25901,159,2,profitable
B-25901,61,28,profitable
B-25902,79,6,profitable
B-25902,268,6,profitable
B-25902,802,120,profitable
B-25902,1700,85,profitable
B-25902,154,26,profitable
B-25903,455,77,profitable
B-25903,19,8,profitable
B-25903,25,11,profitable
B-25903,37,17,profitable
B-25903,60,-10,not profitable
B-25903,204,94,profitable
B-25903,74,33,profitable
B-25903,336,57,profitable
B-25904,871,131,profitable
B-25904,83,12,profitable
B-25905,152,50,profitable
B-25906,78,27,profitable
B-25907,30,11,profitable
B-25908,179,25,profitable
B-25909,168,56,profitable
B-25909,108,22,profitable
B-25909,1622,248,profitable
B-25909,323,122,profitable
B-25909,12,2,profitable
B-25910,125,15,profitable
B-25910,685,7,profitable
B-25910,850,289,profitable
B-25910,1622,624,profitable
B-25910,259,47,profitable
B-25910,33,1,profitable
B-25911,40,15,profitable
B-25912,102,11,profitable
B-25913,103,21,profitable
B-25914,460,143,profitable
B-25914,125,22,profitable
B-25915,277,3,profitable
B-25916,80,26,profitable
B-25917,100,12,profitable
B-25918,244,122,profitable
B-25919,28,4,profitable
B-25919,110,12,profitable
B-25919,636,204,profitable
B-25919,1599,37,profitable
B-25919,977,244,profitable
B-25920,100,7,profitable
B-25921,170,19,profitable
B-25921,84,-42,not profitable
B-25921,71,-44,not profitable
B-25922,52,18,profitable
B-25923,226,58,profitable
B-25923,484,28,profitable
B-25923,253,-11,not profitable
B-25923,3873,891,profitable
B-25924,148,54,profitable
B-25925,27,12,profitable
B-25925,314,-41,not profitable
B-25925,1228,14,profitable
B-25926,57,6,profitable
B-25927,200,7,profitable
B-25928,25,10,profitable
B-25928,122,15,profitable
B-25929,1308,536,profitable
B-25929,216,-135,not profitable
B-25929,154,-85,not profitable
B-25930,40,13,profitable
B-25930,351,-94,not profitable
B-25930,595,119,profitable
B-25930,151,29,profitable
B-25930,58,17,profitable
B-25930,202,89,profitable
B-25931,73,-36,not profitable
B-25932,71,-14,not profitable
B-25933,81,-44,not profitable
B-25933,412,-412,not profitable
B-25933,207,-100,not profitable
B-25934,105,33,profitable
B-25935,162,20,profitable
B-25935,150,32,profitable
B-25935,1657,460,profitable
B-25936,61,25,profitable
B-25937,1101,352,profitable
B-25938,61,1,profitable
B-25938,59,25,profitable
B-25939,61,18,profitable
B-25939,136,41,profitable
